palabra;valencia
adúltero;0.229
adulterio;0.120
edad adulta;0.541
ventaja;0.673
avanzado;0.844
avance;0.776
avanzando;0.929
ventaja;0.917
ventajoso;0.837
adviento;0.665
aventura;0.917
aventurero;0.781
aventuras;0.812
aventurero;0.969
adversario;0.349
adverso;0.323
adversidad;0.276
anunciar;0.500
anuncio publicitario;0.600
publicidad;0.622
anuncios;0.551
consejo;0.698
aconsejable;0.867
consejo;0.760
aconsejado;0.823
asesoramiento;0.698
asesor;0.745
tutor;0.646
consultivo;0.656
Abogacía;0.500
defensor;0.551
égida;0.490
aireación;0.550
aéreo;0.615
aeróbicos;0.708
aeródromo;0.541
aerodinámico;0.561
aerodinámica;0.590
aeronáutica;0.551
avión;0.714
aeroespacial;0.643
estético;0.708
estética;0.847
etiología;0.480
lejos;0.396
afable;0.704
asunto;0.520
afectar;0.458
conmovedor;0.350
cariño;0.898
cariñoso;0.949
afectos;0.760
afiche;0.479
declaración jurada;0.469
asociado;0.673
afiliación;0.615
afinidad;0.800
afirmar;0.745
afirmación;0.750
afirmativo;0.854
afirmativamente;0.908
afijo;0.438
afligir;0.302
afligido;0.271
aflicción;0.294
afluencia;0.663
afluente;0.756
solventar;0.571
asequible;0.840
afrenta;0.327
ofendido;0.385
al campo;0.594
un incendio;0.367
a flote;0.602
a proa;0.500
citado;0.490
antedicho;0.531
atemorizado;0.010
de nuevo;0.643
en popa;0.480
vida futura;0.571
secuelas;0.312
tarde;0.533
aftershave;0.406
regusto;0.354
idea tardía;0.396
aga;0.542
ágape;0.612
ágata;0.540
años;0.561
Envejecido;0.135
agencia;0.460
agenda;0.531
agente;0.480
aglomeración;0.450
agravar;0.224
agravado;0.079
agrava;0.108
agravante;0.257
agravación;0.071
agregar;0.730
agregación;0.583
agresivo;0.059
agresión;0.094
agresivo;0.125
agresivamente;0.250
agresividad;0.077
agresor;0.146
agh;0.260
espantado;0.133
aghhh;0.281
ágil;0.800
agilidad;0.720
envejecimiento;0.214
agitar;0.300
agitado;0.444
agitación;0.240
radiante;0.780
agnóstico;0.306
atrás;0.317
agonizante;0.083
agonía;0.083
agorafobia;0.127
aceptar;0.906
agradable;0.906
acordado;0.797
estar de acuerdo;0.854
convenio;0.760
agresivo;0.083
agrícola;0.686
agricultura;0.640
encallado;0.333
agua;0.598
adelante;0.708
ahhh;0.562
ahhhhhhhh;0.552
ahoy;0.500
ayuda;0.796
ayudante;0.724
ayudando;0.643
SIDA;0.561
afligir;0.375
enfermo;0.094
enfermedad;0.146
apuntar;0.481
sin objetivo;0.150
aire;0.708
bolsa de aire;0.510
aerotransportado;0.542
aeronave;0.646
portaaviones;0.490
aeródromo;0.601
cabeza hueca;0.271
puente aéreo;0.573
aerolínea;0.650
avión de línea;0.667
burbuja de aire;0.398
aviador;0.587
avión;0.719
aeropuerto;0.729
aires;0.583
dirigible;0.542
espacio aéreo;0.562
velocidad aerodinámica;0.583
pista de aterrizaje;0.550
hermético;0.479
vías respiratorias;0.638
pasillo;0.438
espera;0.385
un frasco;0.460
alias;0.459
parecido;0.639
alabastro;0.542
alarma;0.241
despertador;0.542
alarmado;0.188
alarmante;0.204
Pobre de mí;0.571
alba;0.521
albatros;0.500
albino;0.500
álbum;0.635
alquimia;0.541
alcohol;0.323
alcohólico;0.153
alcoholismo;0.061
hueco;0.490
concejal;0.550
cerveza inglesa;0.530
alerta;0.479
vigilancia;0.375
alertas;0.337
alfalfa;0.546
álgebra;0.440
algebraico;0.531
algoritmo;0.448
alias;0.541
coartada;0.396
extraterrestre;0.410
enajenar;0.247
alienado;0.410
alienación;0.378
posarse;0.667
alinear;0.656
alineado;0.583
alineación;0.643
similar;0.653
alimentación;0.781
pensión alimenticia;0.612
alícuota;0.440
viva;0.816
álcali;0.490
alcaloides;0.433
aliviar;0.417
alegación;0.578
alegar;0.418
presunto;0.365
lealtad;0.917
alegórico;0.517
alegoría;0.615
alegro;0.635
alérgico;0.135
alergia;0.296
aliviar;0.869
alivio;0.735
callejón;0.347
Alianza;0.696
aliado;0.714
caimán;0.354
asignar;0.673
asignación;0.604
asignar;0.622
asignación;0.600
permitir;0.698
admisible;0.698
tolerancia;0.673
permitió;0.730
aleación;0.583
todo sonrisas;0.786
seducir;0.804
seductor;0.837
alusión;0.440
aluvial;0.323
aliado;0.792
almanaque;0.688
todopoderoso;0.938
almendra;0.698
en alto;0.771
aloha;0.698
solo;0.333
junto a;0.458
a distancia;0.189
en voz alta;0.458
alfa;0.708
alfabeto;0.562
alfabético;0.537
alpino;0.594
yayyyy;0.592
altar;0.724
monaguillo;0.434
alterar;0.333
modificación;0.167
altercado;0.170
alterado;0.255
alterno;0.625
alternativa;0.628
altímetro;0.615
altitud;0.708
Alto;0.656
en total;0.833
aluminio;0.449
antiguo alumno;0.633
alveolar;0.469
alzheimers;0.194
amalgama;0.438
amalgamación;0.406
Amaretto;0.543
acumular;0.552
aficionado;0.469
asombro;0.896
asombrado;0.796
asombro;0.827
increíble;0.906
Asombrosamente;0.918
embajador;0.651
ámbar;0.635
ambiente;0.735
ambigüedad;0.164
ambiguo;0.265
ámbito;0.479
ambición;0.510
ambicioso;0.484
ambivalente;0.510
Ambrosía;0.571
ambulancia;0.500
emboscada;0.281
mejorar;0.770
amén;0.781
dócil;0.448
enmendar;0.688
enmienda;0.531
compensación;0.640
amenidad;0.750
amatista;0.622
amable;0.847
amistoso;0.875
entre;0.510
en medio de;0.480
aminado;0.551
munición;0.323
amoníaco;0.292
amonio;0.354
munición;0.338
amnesia;0.296
amnistía;0.551
amoroso;0.844
amorfo;0.327
amortización;0.592
Monto;0.562
aventura amorosa;0.865
amperio;0.439
ampersand;0.480
anfetaminas;0.133
anfibio;0.427
anfiteatro;0.653
amplio;0.744
amplificación;0.690
amplificar;0.677
amplitud;0.694
ampliamente;0.781
amputar;0.092
amputación;0.100
loco;0.385
amuleto;0.781
entretener;0.812
divertido;0.942
diversión;0.929
entretenido;0.960
Ana;0.541
anaconda;0.146
anestesia;0.350
anestésico;0.449
anagrama;0.552
anal;0.333
analgésico;0.417
análogo;0.531
término análogo;0.570
analogía;0.510
análisis;0.729
analista;0.604
analítico;0.665
analizar;0.667
analizador;0.625
anafiláctico;0.378
anarquismo;0.125
anarquista;0.204
anarquía;0.146
anastomosis;0.375
anatema;0.286
anatómico;0.562
anatomía;0.562
antepasado;0.592
ancestral;0.640
ascendencia;0.708
ancla;0.520
anclaje;0.500
antiguo;0.420
auxiliar;0.449
andrógino;0.255
androide;0.663
anécdota;0.583
anemia;0.188
anémico;0.167
anémona;0.552
anestesia;0.365
anestesiólogo;0.419
anestésico;0.350
aneurisma;0.115
de nuevo;0.771
ángel;0.906
angelical;0.927
enfado;0.167
enojado;0.010
control de la ira;0.260
angina de pecho;0.230
angiograma;0.347
angiografía;0.378
ángulo;0.541
pesca con caña;0.625
angora;0.529
más enojado;0.094
enfadado;0.122
tuit enojado;0.265
angustia;0.167
angustiado;0.135
angular;0.449
anhidro;0.456
animal;0.521
animar;0.827
animado;0.823
animación;0.888
animosidad;0.510
ánimo;0.698
tobillo;0.500
calcetín;0.410
anales;0.427
anexo;0.594
anexión;0.342
anexo;0.584
aniquilar;0.115
aniquilado;0.080
aniquilación;0.041
aniversario;0.880
anotar;0.592
anotación;0.604
anunciar;0.694
anuncio;0.729
locutor;0.602
enojarse;0.094
molestia;0.167
molesto;0.104
irritante;0.082
molesta;0.146
anual;0.552
anualidad;0.521
anular;0.250
anulación;0.153
anillo;0.458
ungido;0.500
unción;0.653
anómalo;0.281
anomalía;0.188
luego;0.479
anonimato;0.469
anónimo;0.396
anoréxico;0.160
responder;0.537
responsable;0.708
respondiendo;0.684
hormiga;0.448
antagonismo;0.224
antagonista;0.240
enemistarse;0.143
apuesta inicial;0.448
antecedente;0.427
antílope;0.542
antena;0.521
anterior;0.510
himno;0.780
hormiguero;0.327
antología;0.338
ántrax;0.188
antropológico;0.367
antropólogo;0.551
antropología;0.490
anti;0.365
antiaéreo;0.330
antibiótico;0.510
antibióticos;0.448
antecristo;0.082
anticipar;0.622
anticipación;0.698
anticipado;0.653
payasadas;0.448
antídoto;0.541
antifúngico;0.408
anti gravedad;0.430
antimonio;0.378
antipatía;0.198
anticuario;0.500
anticuado;0.420
antiguo;0.634
antigüedades;0.540
antigüedad;0.385
antiséptico;0.438
antisocial;0.146
antítesis;0.396
antitético;0.271
antivírico;0.459
cuerno;0.448
inquieto;0.449
ano;0.347
yunque;0.380
ansiedad;0.146
ataque de ansiedad;0.150
ansioso;0.281
ansiedad;0.235
cualquier momento;0.625
aorta;0.448
aórtico;0.436
rápidamente;0.536
apache;0.687
Departamento;0.719
apartamentos;0.704
apático;0.188
apatía;0.184
mono;0.548
abertura;0.612
apéndice;0.570
áfido;0.388
afrodisiaco;0.750
una pieza;0.439
aplomo;0.500
apocalipsis;0.050
apocalíptico;0.173
apologético;0.479
apologista;0.406
disculparse;0.551
disculpa;0.571
apostasía;0.388
apóstata;0.342
apóstol;0.646
apostólico;0.592
apóstrofe;0.469
boticario;0.561
horrorizado;0.194
pésimo;0.160
aparato;0.375
vestir;0.698
aparente;0.473
aparentemente;0.531
aparición;0.406
apelación;0.663
Aparecer;0.735
apariencia;0.669
apaciguar;0.633
apelante;0.327
adjuntar;0.573
apéndice;0.229
apendectomía;0.177
apendicitis;0.031
apéndice;0.365
apetito;0.704
aperitivo;0.755
apetitoso;0.806
aplaudir;0.865
aplausos;0.953
manzana;0.811
jugo de manzana;0.765
Aguardiente de manzana;0.604
coba;0.750
aparato;0.582
accesorios;0.594
aplicabilidad;0.677
aplicable;0.469
solicitante;0.612
solicitud;0.646
aplicar;0.612
nombrar;0.565
cita;0.688
equipo;0.745
prorratear;0.677
prorrateo;0.552
evaluación;0.417
evaluar;0.677
apreciable;0.873
valorar;0.885
apreciado;0.910
aprecia;0.765
apreciación;0.917
agradecido;0.857
aprehender;0.521
detención;0.385
aprensivo;0.406
aprendiz;0.615
aprendizaje;0.812
Acercarse;0.612
que se acerca;0.740
aprobar;0.646
aprobación;0.792
adecuado;0.833
apropiación;0.510
aprobación;0.854
aprobar;0.875
aprobado;0.833
aprobación;0.880
aprobatorio;0.917
aproximado;0.551
aproximadamente;0.622
aproximando;0.583
aproximación;0.582
anexidades;0.573
albaricoque;0.708
delantal;0.582
apto;0.582
aptitud;0.750
agua;0.656
aguamarina;0.729
acuario;0.663
acuático;0.677
acueducto;0.551
acuoso;0.429
cultivable;0.510
árbitro;0.561
arbitrario;0.281
arbitrar;0.470
arbitraje;0.587
árbitro;0.385
cenador;0.583
arco;0.552
arcada;0.676
arcano;0.500
arco;0.500
arqueológico;0.740
arqueólogo;0.552
arqueología;0.596
arcaico;0.271
arcángel;0.837
arzobispo;0.622
archidiócesis;0.400
archiduque;0.458
arqueado;0.582
arquero;0.573
tiro al arco;0.594
arquetipo;0.448
archipiélago;0.745
arquitecto;0.776
arquitectónico;0.729
arquitectura;0.820
archivo;0.438
ártico;0.615
ardiente;0.694
ardor;0.500
arduo;0.344
área;0.490
arena;0.510
areola;0.417
Estás bromeando;0.429
Me estás tomando el pelo;0.365
argén;0.594
argh;0.260
arghh;0.292
arghhhh;0.250
discutir;0.093
argumento;0.510
argumentación;0.479
discutidor;0.450
argumentos;0.541
árido;0.323
surgir;0.750
aristocracia;0.688
aristócrata;0.583
aristocrático;0.449
aritmética;0.453
arca;0.396
brazo;0.552
armada;0.408
armamento;0.198
armadura;0.510
Sillón;0.646
armado;0.188
armadura;0.469
blindado;0.469
arsenal;0.448
axila;0.283
brazos;0.464
ejército;0.417
aroma;0.823
aromaterapia;0.847
excitación;0.791
despertar;0.740
excitado;0.708
acusación;0.406
arreglar;0.740
organizado;0.698
arreglo;0.625
formación;0.521
atrasos;0.286
arrestar;0.146
arritmia;0.265
llegada;0.678
llegar;0.837
arrogancia;0.143
arrogante;0.115
flecha;0.439
gilipollas;0.276
pendejos;0.188
arsenal;0.365
arsénico;0.281
incendio provocado;0.133
incendiario;0.348
Arte;0.812
arterial;0.396
artería;0.396
ingenioso;0.771
artritis;0.110
artrópodo;0.344
alcachofa;0.583
artículo;0.594
artículos;0.552
articular;0.677
articulación;0.479
artefacto;0.510
artificio;0.316
artificial;0.306
artillería;0.350
artesano;0.781
artista;0.802
artístico;0.802
arte;0.823
artistas;0.796
obra de arte;0.896
pretensioso;0.490
lo antes posible;0.571
amianto;0.357
ascender;0.830
ascendencia;0.724
ascendente;0.656
ascensión;0.765
ascenso;0.755
cerciorarse;0.560
averiguado;0.531
ascético;0.438
ceniza;0.260
avergonzado;0.156
cenizas;0.327
cenicero;0.406
asnal;0.429
pedir;0.531
dormido;0.490
áspid;0.438
espárragos;0.469
aspartamo;0.469
aspecto;0.479
aspectos;0.439
álamo temblón;0.479
asfalto;0.479
asfixia;0.198
aspiración;0.704
aspirar;0.812
aspirina;0.479
ambicioso;0.844
culo;0.323
atacar;0.378
agresor;0.184
asesino;0.073
asesinar;0.051
asesinato;0.083
agresión;0.167
ensayo;0.633
conjunto;0.429
armar;0.542
ensamblado;0.663
asamblea;0.698
asambleísta;0.430
asentir;0.615
afirmar;0.750
afirmando;0.694
afirmación;0.740
asertivo;0.719
evaluar;0.698
evaluación;0.750
asesor;0.551
activo;0.797
activos;0.667
Estúpido;0.133
asignar;0.622
cesionario;0.510
asignación;0.483
asimilar;0.559
asimilación;0.429
asistir;0.833
asistencia;0.656
asistente;0.625
asociado;0.812
asociación;0.745
clasificado;0.602
surtido;0.694
calmar;0.745
asumir;0.698
ficticio;0.612
asumiendo;0.740
suposición;0.479
garantía;0.675
asegurar;0.910
seguro;0.878
ciertamente;0.786
asterisco;0.541
asteroide;0.430
asteroides;0.361
asma;0.198
asmático;0.229
astigmatismo;0.214
asombrar;0.786
asombrado;0.510
asombroso;0.844
asombrosamente;0.827
asombro;0.680
asombrar;0.729
astral;0.604
por mal camino;0.098
astringente;0.316
astrólogo;0.594
astrología;0.635
astronauta;0.792
astrónomo;0.750
astronómico;0.600
astronomía;0.613
astuto;0.776
en pedazos;0.208
asilo;0.407
asimétrico;0.580
asimetría;0.476
asintótico;0.479
taller;0.490
ateísmo;0.276
ateo;0.373
aterosclerosis;0.250
atleta;0.781
atlético;0.857
atletismo;0.750
atlas;0.531
atmósfera;0.604
atmosférico;0.531
atolón;0.480
átomo;0.510
atómico;0.327
expiar;0.418
expiación;0.550
en paz;0.724
atrio;0.469
atroz;0.073
atrocidad;0.115
atrofia;0.177
adjuntar;0.520
adjunto;0.562
archivo adjunto;0.570
ataque;0.286
agresor;0.185
alcanzar;0.806
alcanzable;0.760
logro;0.830
intentar;0.625
intentó;0.594
asistir;0.650
asistencia;0.812
asistente;0.580
atención;0.740
Buscador de atención;0.367
buscadores de atención;0.531
atento;0.812
atenuar;0.408
atenuado;0.449
atenuación;0.458
dar fe;0.439
atestación;0.234
ático;0.521
atuendo;0.742
actitud;0.760
abogado;0.600
atraer;0.796
atracción;0.906
atractivo;0.906
atribuible;0.704
atributo;0.781
atribución;0.646
desgaste;0.229
castaño;0.510
subasta;0.594
subastador;0.542
audaz;0.740
audacia;0.760
audible;0.673
audiencia;0.698
audio;0.709
auditoría;0.375
audición;0.750
audiciones;0.740
auditor;0.582
sala;0.529
auditivo;0.531
algo;0.418
aumentar;0.650
aumento;0.714
agosto;0.652
tía;0.667
aura;0.760
Aurora;0.817
auspicios;0.542
propicio;0.562
austero;0.500
austeridad;0.438
auténtico;0.885
autenticar;0.833
autenticación;0.724
autenticidad;0.670
autor;0.775
autoritario;0.636
autoridad;0.592
autorización;0.521
autorizar;0.772
autorizado;0.760
paternidad literaria;0.667
autismo;0.235
autista;0.367
auto;0.571
autobiográfico;0.909
autobiografía;0.735
autocorrección;0.551
autocrático;0.542
autógrafo;0.735
autografiado;0.781
automatizado;0.578
automático;0.562
automóvil;0.753
automotor;0.656
autonomía;0.781
piloto automático;0.594
autopsia;0.252
otoño;0.765
auxiliar;0.622
aprovechar;0.800
disponibilidad;0.796
disponible;0.844
avalancha;0.265
avaricia;0.198
avatar;0.633
vengar;0.073
vengador;0.337
avenida;0.677
afirmar;0.492
promedio;0.684
aversión;0.582
contrario;0.253
aversión;0.296
evitar;0.510
pajarera;0.500
aviación;0.708
aviador;0.615
ávido;0.582
palta;0.677
evitar;0.427
evitación;0.470
evitando;0.457
esperar;0.448
despierto;0.667
despertar;0.729
otorgar;0.865
premios;0.958
consciente;0.656
conciencia;0.684
temor;0.469
asombrado;0.364
increíble;0.980
genialidad;0.917
atemorizado;0.615
horrible;0.061
incómodo;0.296
torpeza;0.167
toldo;0.500
torcido;0.156
hacha;0.296
axial;0.458
axioma;0.439
axiomático;0.458
eje;0.209
sí;0.500
azimut;0.385
azur;0.620
balbucear;0.552
balbuceo;0.396
bebé;0.860
babuino;0.357
bebé;0.837
cuidar a los niños;0.719
niñera;0.656
bachillerato;0.729
bacará;0.583
soltero;0.667
despedida de soltera;0.735
espalda;0.438
respaldo;0.480
columna vertebral;0.538
puerta trasera;0.344
fondo;0.320
partidario;0.646
petardeo;0.265
chaquete;0.580
antecedentes;0.399
revés;0.427
retroexcavadora;0.398
Apártate;0.104
mochila;0.729
mochilero;0.510
cuadro trasero;0.406
asiento trasero;0.388
trasero;0.182
retractarse;0.312
respaldo;0.520
hacia atrás;0.309
atraso;0.240
hacia atrás;0.302
remanso;0.312
región apartada;0.541
patio interior;0.552
tocino;0.698
bacterias;0.177
bacteriano;0.156
bacteria;0.194
malo;0.125
impresionante;0.255
mal día;0.327
mal presentimiento;0.250
Insignia;0.567
tejón;0.344
mal hábito;0.184
gravemente;0.073
maldad;0.094
deflector;0.344
desconcertado;0.151
bolsa;0.500
rosquilla;0.531
equipaje;0.610
bolsita;0.367
holgado;0.521
viajante;0.506
gaita;0.541
fianza;0.373
alguacil;0.347
carnada;0.276
hornear;0.867
panadería;0.802
horneando;0.549
bola;0.490
balance;0.684
equilibrado;0.806
balcón;0.562
calvo;0.306
que se está quedando calvo;0.302
calvo;0.398
bala;0.437
obstáculo;0.229
pelota;0.740
balada;0.792
lastre;0.354
bailarina;0.802
ballet;0.656
juego de pelota;0.781
balístico;0.260
balística;0.271
globo;0.729
votación;0.521
estadio de béisbol;0.724
jugador de pelota;0.719
bolígrafo;0.596
salón de baile;0.847
atrevido;0.531
bálsamo;0.625
balsámico;0.684
bálsamo;0.663
balsámico;0.582
bam;0.427
bambú;0.646
prohibición;0.146
plátano;0.612
banda;0.648
vendaje;0.220
pañuelo;0.562
bandido;0.094
quiosco de música;0.735
carro;0.625
banda ancha;0.714
perdición;0.265
estallido;0.265
petardo;0.378
desterrar;0.163
alejado;0.052
destierro;0.160
barandilla;0.418
banjo;0.469
banco;0.562
banquero;0.586
bancario;0.510
financiar;0.469
arruinado;0.163
bancarrota;0.010
bandera;0.521
banquete;0.765
alma en pena;0.408
broma;0.594
banzai;0.550
bautismo;0.844
bautismal;0.646
bautizar;0.739
bar;0.500
lengüeta;0.448
bárbaro;0.323
barbarie;0.190
parilla;0.792
mordaz;0.177
Barbero;0.543
barbería;0.597
Muñeca barbie;0.729
bardo;0.470
desnudo;0.333
a pelo;0.500
descalzo;0.445
apenas;0.448
vomitar;0.340
negociar;0.653
negociación;0.622
barcaza;0.469
barítono;0.592
bario;0.406
ladrar;0.360
barman;0.480
ladra;0.427
cebada;0.614
camarera;0.521
barman;0.594
granero;0.510
percebe;0.408
barney;0.451
corral;0.510
barómetro;0.388
barón;0.520
baronesa;0.625
barroco;0.490
barraca;0.378
barracuda;0.333
bombardeo;0.388
prohibido;0.143
barril;0.429
estéril;0.173
barricada;0.323
barrera;0.333
excepto;0.292
abogado;0.469
bar;0.686
carretilla;0.479
barman;0.573
permuta;0.465
base;0.635
béisbol;0.660
bate de béisbol;0.667
zócalo;0.396
infundado;0.292
base;0.483
sótano;0.388
bases;0.569
intento;0.385
tímido;0.400
básico;0.643
lo esencial;0.688
albahaca;0.534
basílica;0.612
cuenca;0.552
base;0.602
disfrutar;0.760
cesta;0.458
baloncesto;0.814
bajo;0.427
fagot;0.500
bastardo;0.094
bastardos;0.082
bastión;0.531
murciélago;0.324
lote;0.560
procesamiento por lotes;0.484
solución alcalina;0.429
bañera;0.725
bañarse;0.677
casa de baños;0.602
baños;0.740
bata de baño;0.531
baño;0.561
bañera;0.625
batimetría;0.432
batuta;0.272
batallón;0.333
masa;0.561
abollado;0.080
cañoneo;0.210
batería;0.480
batalla;0.365
luchó;0.292
campo de batalla;0.133
almenas;0.276
acorazado;0.479
chalado;0.375
chuchería;0.698
obsceno;0.184
gritar;0.385
bahía;0.719
bayoneta;0.263
brazo pantanoso;0.469
bazar;0.604
bazuca;0.302
cumpleaños;0.729
ser;0.670
playa;0.885
playas;0.865
Faro;0.580
talón;0.592
cuentas;0.542
rosario;0.673
de forma de abalorio;0.448
beagle;0.649
pico;0.375
cubilete;0.420
haz;0.584
radiante;0.892
frijol;0.667
bolsa de frijoles;0.450
gorro;0.500
llevar;0.448
soportable;0.542
barba;0.490
barbado;0.439
portador;0.571
Llevando;0.571
aspectos;0.418
osuno;0.521
piel de oso;0.333
bestia;0.214
bestial;0.146
derrotar;0.279
vencido;0.083
batidora;0.438
golpeando;0.153
beatnik;0.429
galán;0.612
embellecimiento;0.885
hermoso;0.875
embellecer;0.898
belleza;0.842
castor;0.490
be-bop;0.482
arroyo;0.580
llamar;0.663
convertirse en;0.641
cama;0.604
lecho;0.704
calentador de cama;0.510
base;0.561
dormitorio;0.744
cabecera;0.604
colcha;0.551
hora de acostarse;0.673
abeja;0.520
carne de res;0.582
Filete de ternera;0.594
Colmena;0.541
bip;0.595
localizador;0.438
cerveza;0.592
abejas;0.562
cera de abejas;0.583
escarabajo;0.323
acontecer;0.520
propio;0.708
ofrecer amistad;0.930
perplejo;0.156
mendigar;0.292
mendigo;0.240
mendicidad;0.292
empezar;0.677
principiante;0.490
comienzo;0.816
principios;0.837
envidiar;0.177
comenzado;0.677
ser feliz;0.875
comportarse;0.677
comportamiento;0.594
conductual;0.612
gigante;0.583
petición;0.602
Mirad;0.610
agradecido;0.296
espectador;0.714
beige;0.490
tardío;0.240
amarrar;0.500
eructo;0.194
creencia;0.896
creíble;0.866
creer;0.781
creía;0.500
creyente;0.725
creyendo;0.870
empequeñecer;0.122
menospreciado;0.177
campana;0.552
botones;0.542
beligerante;0.344
botones;0.540
bramido;0.248
fuelle;0.458
vientre;0.510
ombligo;0.531
panzada;0.347
pertenecer;0.643
pertenencias;0.592
amado;0.969
cinturón;0.541
beluga;0.510
perplejo;0.281
mesa de trabajo;0.571
curva;0.571
juerga;0.490
doblando;0.448
debajo;0.354
bendecidor;0.677
benefactor;0.833
beneficioso;0.820
beneficiario;0.776
beneficio;0.906
benevolencia;0.786
benevolente;0.786
benigno;0.694
doblado;0.375
benceno;0.439
legar;0.743
legado;0.661
afligido;0.104
duelo;0.265
privado;0.229
boina;0.542
bergamota;0.510
